ROW_ID,ROW_VERSION,studyName,studyId,studyFileviewId,studyStatus,dataStatus,summary,initiative,id,accessRequirements,acknowledgementStatements,studyLeads,manifestation,institutions,diseaseFocus,relatedStudies,fundingAgency
175,206,Synodos Schwannomatosis,syn9727752,syn11614209,Completed,Available,"Synodos for Schwannomatosis is a two-year initiative that will bring together basic, translational, and clinical researchers towards the end goal of developing effective treatments for schwannomatosis. The project aims to perform an extensive molecular analysis of schwannomatosis tumor samples to identify new therapeutic targets, and advance the understanding and management of the disease, with a focus on pain. Experts from institutions spread across four different countries are working together to 1) develop a clinically annotated schwannomatosis biobank; 2) develop a comprehensive pain registry for schwannomatosis patients; 3) establish the genomic and epigenomic landscape of schwannomatosis to identify disease-driving alterations; and 4) correlate the molecular findings with key clinical parameters, including pain.",Synodos,syn9727752,"Accessing data from this project requires submission of an Intended Data Use Statement and agreement to Data Access Terms of Use.  <br><br> To access data from this project, please follow these steps:  <br><br> **1**: Register for a Synapse account [here](https://www.synapse.org/#!RegisterAccount:0) (if you do not already have one). <br> **2**: Navigate to the [data files page](https://www.synapse.org/#!Synapse:syn17262902). <br> **3**: Click on ""Request Access"" next to the ""lock"" symbol. <br> **4**: Follow the instructions on that page. You will be prompted to ""Request access to Data"" by clicking the Request Access button and submitting an Intended Data Use statement (1-3 paragraphs in English) to be posted publicly. You will also need to review the Terms of Use and click “Accept Terms of Use"". If you have questions about the data access process please post them to the [discussion forum](https://www.synapse.org/#!Synapse:syn9727752/discussion/default). <br>","If you publish work using data from this project, please: </br> <ul> <li>Acknowledge the research participants as data contributors by including the following statement: “The research team would like to thank the patients who generously shared their time and tissue for the purposes of this project.”</li> <li>Cite the study investigators on all publications or presentations resulting from the use of these data as follows: Mansouri, S., Suppiah, S., Mamatjan, Y. et al. Epigenomic, genomic, and transcriptomic landscape of schwannomatosis. Acta Neuropathol (2020). https://doi.org/10.1007/s00401-020-02230-x </li> <li>Acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""</li> </ul>","[""Gelareh Zadeh"", ""Laura Papi""]","[""Schwannoma""]","[""University Health Network of Toronto"", ""University of Florence"", ""Columbia University"", ""Massachusetts General Hospital"", ""Johns Hopkins University""]","[""Schwannomatosis""]","[""syn22268689""]","[""CTF""]"
143,197,Drug Screening of pNF Cell Lines,syn4939906,syn7850572,Completed,Partially Available,"A lack of cellular model systems was identified as a major gap in pNF therapeutics-focused research when NTAP was launched in 2012. Hence, creating a cell culture initiative was an early priority. While current animal models can faithfully mimic some aspects of pNF (tumor histology, imaging characteristics, natural history), they are based on relatively narrow genetically engineered platforms and are not fully representative of human NF1 diversity. Moreover, the tumors in these models are slow growing (requiring 9-12 months for a single compound efficacy study) and costly. Hence, there is a need for in vivo models that allow more rapid drug screening (particularly when considering possible combinatorial therapies) and a need for in vitro models that allow more facile manipulation of the NF1 gene in order to understand the molecular genomics influencing tumor behavior. The goal of this project is to create a panel of cell culture systems that represent pNF complexity and can be utilized to both screen new compounds as well as to identify new therapeutic targets.",Cell Culture Initiative,syn4939906,Accessing the data from this study requires a Synapse account.,"If you use data from this study in a publication or talk, please cite the following publication: ""Ferrer M, Gosline SJC, Stathis M, et al. Pharmacological and genomic profiling of neurofibromatosis type 1 plexiform neurofibroma-derived schwann cells. Sci Data. 2018;5:180106. Published 2018 Jun 12. doi:10.1038/sdata.2018.106."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""","[""Marc Ferrer""]","[""Plexiform Neurofibroma""]","[""National Center for Advancing Translational Sciences""]","[""Neurofibromatosis type 1""]","[""syn4939902"", ""syn7217946"", ""syn4939874""]","[""NTAP""]"
185,197,NF Cell Line Compound Screens,syn11817821,syn11818313,Completed,Partially Available,"This project created the first college course in drug screening, and specifically screened for drugs for NF1 and NF2 related tumor types. Students screened drugs, both known and novel, against NF tumor cell models. The known drugs will serve as a starting point for comparison with other screening efforts. In total, 130 drugs were screened against 11 different NF-related cell lines.",Independent,syn11817821,Accessing the data from this study requires a Synapse account.,"If you use data from this study in a publication or talk, please cite the following publication: ""Guo J, Grovola MR, Xie H, et al. Comprehensive pharmacological profiling of neurofibromatosis cell lines. Am J Cancer Res. 2017;7(4):923��_934. Published 2017 Apr 1."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""","[""Jeffrey Field""]","[""MPNST""]","[""University of Pennsylvania""]","[""Neurofibromatosis type 1""]","[""syn2343195"", ""syn4984604"", ""syn5562324"", ""syn22268652""]","[""CTF""]"
155,197,Synodos NF1 Preclinical Models (Minnesota CCHMC Recombinetics),syn5610425,syn15672871,Active,Available,"The aim of Synodos for NF1 is to find solutions to the unique problems that affect NF1 patients in the fastest, most efficient manner by sharing their real-time data and results. In Project 2 of the Synodos for NF1 Consortium, researchers will develop and perfect animal models that will most accurately replicate human reaction to drugs in preclinical testing. Two teams will independently generate models; this project consists of results from the Minnesota team, and includes members from the University of Minnesota, Cincinnati Children's Hospital, the National Cancer Institute, and Recombinetics Inc.",Synodos,syn5610425,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"[""David Largaespada"", ""Nancy Ratner""]","[""Plexiform Neurofibroma""]","[""University of Minnesota"", ""Cincinnati Children's Hospital Medical Center"", ""Recombinetics"", ""National Cancer Institute""]","[""Neurofibromatosis type 1""]","[""syn5610446""]","[""CTF""]"
132,197,Synodos NF2,syn2343195,syn11614200,Completed,Available,"Synodos for NF2 is a first-of-its-kind neurofibromatosis research collaboration dedicated to defeating the rare genetic disorder neurofibromatosis type 2 (NF2). This unique consortium brings together a multidisciplinary team of scientists from twelve world-class labs at academic and medical centers of excellence, who have pledged to work closely together - sharing information, datasets, results and more - at every step in research development, with the goal of speeding up the drug discovery process. The end goal of this effort is to find new approaches to the diagnosis and treatment of two primary NF2-related tumors: schwannoma and meningioma. The expectation is to take the work from discovery to pre-clinical development, resulting in the development of an Investigational New Drug (IND) for NF2. Presently, two of three data releases have been conducted, with high-throughput drug screening data and more gene expression/kinomics data to be released in the future.",Synodos,syn2343195,Accessing the data from this study requires a Synapse account.,"If you use data from this study in a publication or talk, please cite the following publication: ""The Synodos for NF2 Consortium, et al. (2018) Traditional and systems biology based drug discovery for the rare tumor syndrome neurofibromatosis type 2. PLoS ONE 13(6): e0197350. https://doi.org/10.1371/journal.pone.0197350."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""","[""Jaishri Blakeley"", ""Wade Clapp"", ""James Gusella"", ""Scott Plotkin""]","[""Schwannoma"", ""Meningioma""]","[""Johns Hopkins Medical Institute"", ""Indiana University"", ""Massachusetts General Hospital"", ""Harvard Medical School"", ""University of Central Florida"", ""FLI-Leibniz-Germany"", ""University of North Carolina"", ""Ohio State University"", ""Sage Bionetworks"", ""Children's Tumor Foundation""]","[""Neurofibromatosis type 2""]","[""syn4984604"", ""syn11817821"", ""syn5562324"", ""syn22268652""]","[""CTF""]"
133,197,A Nerve Sheath Tumor Bank from Patients with NF1,syn4939902,syn13363852,Active,Available,"Surgery is currently the only treatment option for patients with NF1 with symptomatic plexiform neurofibromas (pNF). Progress developing nonsurgical therapy for pNF has been limited by a number of factors including 1) the lack of cell culture based models of pNF, 2) a limited number of animal models of pNF, and 3) limited access of investigators to primary pNF tissue from NF1 patients. Although progress is being made in the development and utilization of animal models and cell culture models, the limited availability of primary patient tissue remains a gap. The goal of this project is to establish a biospecimen and xenograft bank from NF1 patients with pNF and malignant peripheral nerve sheath tumors (MPNST) and to increase accessibility of these tissues to the research community.",NTAP Open Proposal,syn4939902,Accessing the data from this study requires a Synapse account. You must also [request access](https://www.synapse.org/#!Synapse:syn4939902/wiki/593715) from the study investigators.,"If you use data from this study in a publication or talk, please cite the following preprint: ""Pollard, K, et al. A clinically and genomically annotated nerve sheath tumor biospecimen repository. bioRxiv 2019.12.19.871897; doi: https://doi.org/10.1101/2019.12.19.871897 .” In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""","[""Christine Pratilas""]","[""Plexiform Neurofibroma"", ""MPNST"", ""Cutaneous Neurofibroma""]","[""Johns Hopkins Medical Institute""]","[""Neurofibromatosis type 1""]","[""syn4939906"", ""syn7217946"", ""syn4939874""]","[""NTAP""]"
142,197,Development of Patient Reported Outcomes System,syn4939888,syn15666651,Completed,Available,"Patient Reported Outcome (PRO) measures assess the treatment outcomes most relevant to patients, and constitute potential outcomes to evaluate in clinical trials. PROs meeting FDA guidelines are critical to ensuring patient-centered endpoints are incorporated. Historically, NF1-associated plexiform neurofibromas (pNF) treatment trials have under-utilized PROs specific to pNF. A psychometrically sound measure incorporating input from patients, families and clinicians, is critical for inclusion in treatment trials. To address the need for a pNF-specific PRO measure for use in clinical trials, this project sought to develop a PRO measurement system utilizing input from patients, families and clinicians, as well as well as psychometric analysis methods to ensure the developed measures are reliable and valid. Specifically this project designed a PRO system for children and young adults with pNF by (1) establishing a conceptual model describing HRQOL, 2) Developing item pools (e.g., pain, stigma, and organ dysfucntion measures), 3) Evaluating psychometric properties of the pools, 4) affirming clinical differences.",Patient Reported Outcomes,syn4939888,Accessing the data from this study requires a Synapse account.,,"[""Jin-Shei Lai""]","[""Plexiform Neurofibroma""]","[""Northwestern University""]","[""Neurofibromatosis type 1""]","[""syn4939878"", ""syn4939880"", ""syn12051335""]","[""NTAP""]"
153,197,Cutaneous Neurofibroma Data Resource,syn4984604,syn11614202,Completed,Available,"In 2013, CTF began a neurofibromatosis biobank to collect NF samples to better study the disease. With all samples being collected under the same protocol, the biobank enables comprehensive analysis of diverse NF samples. To showcase the value the biobank, CTF has kicked off a pilot project designed to characterize the molecular landscape of cutaneous neurofibromas (NF) that grow in NF1 patients, sponsored by the Children's Tumor Foundation. This project includes high-throughput data from 11 different patient tumors and matched blood samples. These data are then compared with one another to assess the distinct landscape of cutaneous NF for each patient.",Independent,syn4984604,Accessing the data from this study requires a Synapse account. You must also [request access](https://www.synapse.org/#!Synapse:syn4984604/wiki/594099) from the Children's Tumor Foundation.,"If you use data from this study in a publication or talk, please cite the following publication: ""Gosline SJ‚ Weinberg H, Knight P, et al. A high-throughput molecular data resource for cutaneous neurofibromas. Sci Data. 2017;4:170045. Published 2017 Apr 11. doi:10.1038/sdata.2017.45."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""","[""Salvatore La Rosa"", ""Annette Bakker"", ""Justin Guinney""]","[""Cutaneous Neurofibroma""]","[""Children's Tumor Foundation"", ""Sage Bionetworks"", ""HudsonAlpha""]","[""Neurofibromatosis type 1""]","[""syn2343195"", ""syn11817821"", ""syn5562324"", ""syn22268652""]","[""CTF""]"
161,197,Columbia University NF1 Glioma Project,syn6633069,syn11614207,Completed,Available,"This study aims to obtain the genomic landscape of glioma associated with NF1 syndrome. While the clinical aspects of NF1 are well characterized and the pathogenesis of plexiform neurofibromas has been widely studied, surprisingly little is known about the genetic and epigenetic changes in the NF1 mutant glioma. This has hindered the development of effective therapies for NF1-mutant cancers. To address this challenge and uncover the driver genes in NF1-glioma, The team will analyze whole-exome and transcriptome data from glioma samples of pediatric and adult NF1 patients. Alterations in the genetic networks will be contextualized in the natural genetic and cellular environment of a specific tumor, and the key driving modules on which specific NF1-glioma subgroups rely for growth, survival and progression will be identified. With this information in hand, we can target the critical alterations with specific drugs, often already available for other types of diseases. The specific aims are to (1) comprehensively characterize the genomic and epigenetic landscape of NF1 gliomas from patients of all age groups, (2) identify driver genetic alterations in NF1-gliomas from the integration of somatic copy number variations, mutations and gene fusions (translocations), (3) reconstruct a somatic alteration network for the inference of mutual exclusivity and co-occurrence of genetic aberrations in NF1-gliomas and (4) validate the functional significance of the inferred alterations in neural systems in vitro and in vivo, and target therapeutically key genetic nodes with highly specific inhibitors.",Synodos,syn6633069,Accessing the data from this study requires a Synapse account.,"If you use data from this study in a publication or talk, please cite the following publication: ""D’Angelo, F., Ceccarelli, M., Tala et al. The molecular landscape of glioma in patients with Neurofibromatosis 1. Nat Med 25, 176–187 (2019). https://doi.org/10.1038/s41591-018-0263-8"" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.","[""Antonio Iavarone""]","[""Low Grade Glioma""]","[""Columbia University"", ""University of Sannio""]","[""Neurofibromatosis type 1""]","[""syn8012530"", ""syn5714288"", ""syn5714290"", ""syn5714423""]","[""CTF""]"
165,197,Exploring the Plexiform Neurofibroma Interactome,syn4939890,syn8449668,Completed,Available,"NF1 mutations in Schwann cells (SCs) drive neurofibroma formation; thus the primary neoplastic cell type in neurofibromas is derived from the SC lineage. The SC genes that are deregulated in mouse and human neurofibromas have not been fully identified. Many cell types are present in neurofibromas besides SCs. These include fibroblasts, mast cells, macrophages, and endothelial cells that are NF1 wild type (as in solitary neurofibroma or in somatic mosaic patients) or NF1 heterozygous (as in many NF1 patients and some mouse models). But how these cells and the intercellular communications contribute to plexiform neurofibroma growth is unknown. It has been recently identified that macrophage is a major cell type in neurofibromas. Macrophages shift gene expression and function in response to the environment, including after nerve injury. Macrophages show anti- tumor effects by secreting free-radicals and recruiting the adaptive immune system (primarily T-cells). However as tumors progress, macrophages stimulate tumor growth and blood vessel formation. Injury-associated inflammation facilitates neurofibroma development by recruiting macrophages in mouse models. How these inter- and intra-cellular interactions contribute to neurofibroma formation has not been studied yet. The goals of this project are to characterize gene expression profiles of Schwann cells and macrophages in mouse nerves and neurofibromas, identify cytokine/chemokine pathways that slow or promote tumor growth and identify molecular networks that mediate intra- and inter-cellular signaling in controlling neurofibroma growth.",NTAP Open Proposal,syn4939890,Accessing the data from this study requires a Synapse account.,"If you use data from this study in a publication or talk, please cite the following publication: ""Choi K, Komurov K, Fletcher JS, Jousma E, Cancelas JA, Wu J, Ratner N. An inflammatory gene signature distinguishes neurofibroma Schwann cells and macrophages from cells in the normal peripheral nervous system. Scientific Reports 2017 Mar; 7, 43315. DOI:10.1038/srep43315."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""","[""Jianqiang Wu"", ""Kakajan Komurov""]","[""Plexiform Neurofibroma""]","[""Cincinnati Children's Hospital Medical Center""]","[""Neurofibromatosis type 1""]","[""syn11374345""]","[""NTAP""]"
